"","title","position","date","type","year","episodes"
"1","The Waterfront",1,2025-06-30,"TV Series","2025– ","8"
"2","Dept. Q",2,2025-06-30,"TV Series","2025– ","9"
"3","We Were Liars",3,2025-06-30,"TV Series","2025– ","8"
"4","Ginny & Georgia",4,2025-06-30,"TV Series","2021– ","31"
"5","MobLand",5,2025-06-30,"TV Series","2025– ","11"
"6","The Last of Us",6,2025-06-30,"TV Series","2023– ","17"
"7","Andor",7,2025-06-30,"TV Series","2022–2025","24"
"8","FUBAR",8,2025-06-30,"TV Series","2023– ","16"
"9","Game of Thrones",9,2025-06-30,"TV Series","2011–2019","74"
"10","Stick",10,2025-06-30,"TV Series","2025– ","10"
"11","Olympo",11,2025-06-30,"TV Series","2025","8"
"12","The Rookie",12,2025-06-30,"TV Series","2018– ","144"
"13","Tires",13,2025-06-30,"TV Series","2024–2025","18"
"14","Poker Face",14,2025-06-30,"TV Series","2023– ","22"
"15","The Better Sister",15,2025-06-30,"TV Series","2025","8"
"16","The White Lotus",16,2025-06-30,"TV Series","2021– ","22"
"17","Sirens",17,2025-06-30,"TV Mini Series","2025","5"
"18","Animal Kingdom",18,2025-06-30,"TV Series","2016–2022","75"
"19","Murderbot",19,2025-06-30,"TV Series","2025– ","10"
"20","Black Mirror",20,2025-06-30,"TV Series","2011– ","33"
"21","Stranger Things",21,2025-06-30,"TV Series","2016–2025","42"
"22","Rick and Morty",22,2025-06-30,"TV Series","2013– ","85"
"23","Breaking Bad",23,2025-06-30,"TV Series","2008–2013","62"
"24","The Survivors",24,2025-06-30,"TV Mini Series","2025","6"
"25","The Handmaid's Tale",25,2025-06-30,"TV Series","2017–2025","66"
